FoodItemID	FoodName	FoodTypeID	Manufacturer	ServingsPerContainer	ServingSize	ServingAmount	ServingUnitID	Calories	TotalFat	SaturatedFat	TransFat	Cholesterol	Sodium	TotalCarbs	DietaryFiber	TotalSugars	AddedSugar	Protein	VitaminD	Calcium	Iron	Potassium	FoodDescription	UrlLink	CookingInstructions
1	Smokey BBQ Beef Stick	2	Chomps					100									0	10						https://chomps.com/products/bbq-beef-jerky-stick	
2	Original Beef Stick	2	Chomps					100									0	10						https://chomps.com/products/gluten-free-snack-beef-jerky-stick-original	
3	Jalapeño Beef Stick	2	Chomps					100									0	10						https://chomps.com/products/paleo-snack-beef-jerky-stick-spicy-jalapeno	
4	Original Turkey Stick	2	Chomps	1	1 Stick (32g/1.15oz)			80	3.5	1.5	0	45	390	0	0	0	0	12						https://chomps.com/products/gluten-free-snack-turkey-jerky-stick-original	
5	Burrito, Egg & Green Chile	2	Evol					320									2	12						https://smartlabel.conagra.com/891627002542-0002-en-US/index.html	
6	Mozzarella Cheese Stick	2	Sargento					45									0	5						https://foods.fatsecret.com/calories-nutrition/sargento/mozzarella-cheese-stick	
7	Chocolate Sea Salt Protein Bar	2	RXBAR		1 Bar (52 G)			200									0	12						https://shop.rxbar.com/shop/chocolate-sea-salt-box-of-12-bars.html	
8	Mini Energy Drink	2	Alani	1	1 Can	248	8	5	0	0	0	0	125	1	0	0	0	0	0	0	0	0		https://www.alaninu.com/collections/drinks-snacks/products/mini-energy-cherry-slush	
9	Regular Protein Shake	2	C&G					240									4	48					2 scoops of protein, creatine		
10	Simple Daves Bread Turkey Sandwhich	2	C&G					390									6	23					Bread, Cheese, Turkey, Mayo		
11	Driscoll's Blackberries	2	C&G					60									7	2							
12	Strawberry Poppy Seed Salad	2	C&G																						Toss all ingredients together
13	Peanut Butter Cup Lite Shake	2	Chuze Fitness					270										30							
14	Grande Iced Caramel Macchiato	2	Starbucks					250									34	10						https://www.starbucks.com/menu/product/413/iced/nutrition	
15	Chick-n-Strips	2	Chick-fil-A					100										9						https://www.chick-fil-a.com/menu/chick-n-strips	
16	20 FL OZ Coca-Cola	2	The Coca-Cola Company					240									65	0						https://www.coca-cola.com/us/en/brands/coca-cola/products/original#accordion-c55f229edc-item-93131ee8b3	
17	Chick-fil-A Sauce	2	Chick-fil-A					140									6	0						https://www.chick-fil-a.com/menu/chick-fil-a-sauce	
18	Fuego Potato Chips	2	Siete Foods		1oz (28g) = 14 chips			140									0	3						https://sietefoods.com/products/fuego-potato-chips	
