NutrientID	Nutrient	DailyValue
1	Added sugars	50g
2	Biotin	30mcg
3	Calcium	1300mg
4	Chloride	2300mg
5	Choline	550mg
6	Cholesterol	300mg
7	Chromium	35mcg
8	Copper	0.9mg
9	Dietary Fiber	28g
10	Fat	78g
11	Folate/Folic Acid	400mcg DFE
12	Iodine	150mcg
13	Iron	18mg
14	Magnesium	420mg
15	Manganese	2.3mg
16	Molybdenum	45mcg
17	Niacin	16mg NE
18	Pantothenic Acid	5mg
19	Phosphorus	1250mg
20	Potassium	4700mg
21	Protein	50g
22	Riboflavin	1.3mg
23	Saturated fat	20g
24	Selenium	55mcg
25	Sodium	2300mg
26	Thiamin	1.2mg
27	Total carbohydrate	275g
28	Vitamin A	900mcg RAE
29	Vitamin B6	1.7mg
30	Vitamin B12	2.4mcg
31	Vitamin C	90mg
32	Vitamin D	20mcg
33	Vitamin E	15mg alpha-tocopherol
34	Vitamin K	120mcg
35	Zinc	11mg
