RecipeIngredientID	FoodItemID	Servings	SubFoodItemID	PreparationStyleID
1	12	1	70	1
2	12	0.5	72	7
3	12	0.5	71	7
4	12	1	73	
5	12	1	74	
6	12	1	75	
7	12	1	76	2
8	12	1	77	
11	10	1	82	
12	10	1	80	
13	10	1	81	
16	9	1	84	
17	10	1	83	
18	11	1	85	
19	27	1	86	
20	27	0.75	87	
21	27	0.75	88	7
22	36	1	90	
23	36		91	
24	36		92	
25	36		93	
26	36		89	
27	37	1	95	
28	37	2.5	94	
29	37	1	96	
30	52	5	98	
31	52	4	86	
33	52	1	99	
35	52	3	100	3
36	52	1	79	8
38	52	0.5	101	
39	52	0.5	102	
41	52	1	103	
42	52	2	73	
43	59	0.25	104	9
44	59	0.25	104	
46	59	2	58	
47	62	1	88	1
50	62	1	63	
51	9	1	105	
52	64	6	106	1
53	64	2	79	8
54	64	0.5	101	
55	64	0.5	102	
56	65	1	107	
57	66	1.5	108	
58	66	1.33	64	
59	66	0.5	71	7
60	66	1	109	
61	66	0.5	99	
62	55	1	111	
63	55	1	113	
64	55	1	112	
65	55	1	114	
66	55	1	115	
67	123	4	122	
68	123	1	120	2
69	123	1	121	2
70	123	2	124	
71	123	2.5	125	
